author,text,hashtags,likes,retweets,replies,views,created_at,url,date,hour,day_of_week,text_clean,engagement_score
sk,"I’m telling you… with the whale flows and clean price action  #CHILLGUY  is seeing, 200 mil market cap will come sooner than you think  See whale flows like this on any Solana coin on the web app in the replies ",#CHILLGUY,104,26,5,2704,2025-06-02 15:00:58+00:00,https://x.com/skmakeit/status/1929553837817237752,2025-06-02,15,0,"I’m telling you… with the whale flows and clean price action #CHILLGUY is seeing, 200 mil market cap will come sooner than you think See whale flows like this on any Solana coin on the web app in the replies",426.40000000000003
Gibbs,Bull-post.  #ChillGuy,#ChillGuy,79,16,4,928,2025-06-02 14:58:49+00:00,https://x.com/CryptoGibbs28/status/1929553295326289952,2025-06-02,14,0,Bull-post. #ChillGuy,203.8
·,the  chill guy 's entrance  #도겸 hey! long time no see! dokyeomie  hello hello!,#도겸,0,0,0,0,2025-06-02 14:57:18+00:00,https://x.com/kyeomdaily/status/1929552914764230908,2025-06-02,14,0,the chill guy 's entrance #도겸 hey! long time no see! dokyeomie hello hello!,0.0
crypto jedi,"#Chillguy  is so deeply rooted into our culture 

I see it all over other platforms used in the same way people use Pepe 

I see it in adds and I see it in random videos I see it in sports it’s everywhere still 

Here’s a few I’ve seen posted in the past week  #chillguy  to $10","#Chillguy,#chillguy",83,19,2,1315,2025-06-02 14:38:14+00:00,https://x.com/JediMasterct/status/1929548115180134735,2025-06-02,14,0,#Chillguy is so deeply rooted into our culture I see it all over other platforms used in the same way people use Pepe I see it in adds and I see it in random videos I see it in sports it’s everywhere still Here’s a few I’ve seen posted in the past week #chillguy to $10,252.5
TOMMY.CRYPTO,"Never underestimate the  chillguy  power.

Sometimes it pumps when markets are uncertain.",,94,19,6,1669,2025-06-02 13:11:07+00:00,https://x.com/tommydotcrypto/status/1929526191838359793,2025-06-02,13,0,Never underestimate the chillguy power. Sometimes it pumps when markets are uncertain.,298.9
The Assertive Guy,God is watching & Karma is inevitable.  @ElvishYadav #ElvishYadav #ElvishArmy,"#ElvishYadav,#ElvishArmy",0,0,0,0,2025-06-02 10:47:26+00:00,https://x.com/SabChillHaiBro/status/1929490032701718897,2025-06-02,10,0,God is watching & Karma is inevitable. @ElvishYadav #ElvishYadav #ElvishArmy,0.0
Justpit,#CHILLGUY  tic toc ,#CHILLGUY,120,25,15,3621,2025-06-02 06:57:27+00:00,https://x.com/Justpit5/status/1929432155395953039,2025-06-02,6,0,#CHILLGUY tic toc,532.1
bels,"Bruh after jsc spilled the tea i rewatched this vid and he deadass bumped into ses so smooth like he was trying to tell seoknen like ""yo  guys chill  we’re being filmed.” ",,370,85,5,13195,2025-06-02 02:24:47+00:00,https://x.com/119savemalife/status/1929363535223529811,2025-06-02,2,0,"Bruh after jsc spilled the tea i rewatched this vid and he deadass bumped into ses so smooth like he was trying to tell seoknen like ""yo guys chill we’re being filmed.”",1859.5
WIZZ ( beware scammers ),"#chillguy  next days

Gn friends",#chillguy,602,101,162,66685,2025-06-01 22:03:07+00:00,https://x.com/CryptoWizardd/status/1929297685506367987,2025-06-01,22,6,#chillguy next days Gn friends,7472.5
Gibbs,Engagement.  #ChillGuy,#ChillGuy,101,15,6,1780,2025-06-01 19:23:27+00:00,https://x.com/CryptoGibbs28/status/1929257502514073808,2025-06-01,19,6,Engagement. #ChillGuy,309.0
TOMMY.CRYPTO,Time for a reverse….?! #chillguy,#chillguy,139,21,18,2917,2025-06-01 16:31:10+00:00,https://x.com/tommydotcrypto/status/1929214147553579435,2025-06-01,16,6,Time for a reverse….?! #chillguy,472.7
KNIGHT,#chillguy,#chillguy,120,26,20,6330,2025-06-01 16:03:41+00:00,https://x.com/cryptoknight890/status/1929207230529724451,2025-06-01,16,6,#chillguy,805.0
chill guy | fan page,2046 my year fr.,,87,11,4,1936,2025-06-01 14:14:00+00:00,https://x.com/chillguyx/status/1929179627932770472,2025-06-01,14,6,2046 my year fr.,302.6
jan 𓈒 ˖ ࣪ 𝜗𝜚 DUH! | no genre,"riwoo is a  chill guy  

250601  #BOYNEXTDOOR #보이넥스트도어 #리우 #RIWOO #リウ","#BOYNEXTDOOR,#보이넥스트도어,#리우,#RIWOO,#リウ",659,95,5,13761,2025-06-01 13:35:56+00:00,https://x.com/myungjaearchive/status/1929170048402477412,2025-06-01,13,6,riwoo is a chill guy 250601 #BOYNEXTDOOR #보이넥스트도어 #리우 #RIWOO #リウ,2225.1000000000004
Lubski Chillguy,Just a  #chillguy  chilling to chillions,#chillguy,0,0,0,0,2025-06-01 13:32:29+00:00,https://x.com/Lubski_chills/status/1929169181422809289,2025-06-01,13,6,Just a #chillguy chilling to chillions,0.0
Family Guy Clips,Quagmire has no  chill  .,,2650,120,12,196316,2025-06-01 13:13:25+00:00,https://x.com/Petre_clipz_/status/1929164381847187718,2025-06-01,13,6,Quagmire has no chill .,22521.600000000002
Dragon,#ChillGuy  will be the best meme of this year! Day 20 of posting  #chillguy #chillguy  until it gets listed on  @binance @binance #SpotListing #SpotListing,"#ChillGuy,#chillguy,#chillguy,#SpotListing,#SpotListing",0,0,0,0,2025-06-01 12:59:58+00:00,https://x.com/DragonInvestX/status/1929160997480075613,2025-06-01,12,6,#ChillGuy will be the best meme of this year! Day 20 of posting #chillguy #chillguy until it gets listed on @binance @binance #SpotListing #SpotListing,0.0
username,The place that breaking you might be the place that builds you. Keep Grinding  . Be a  #chillguy  .,#chillguy,78,17,3,3308,2025-06-01 09:57:17+00:00,https://x.com/Usernamecrypto2/status/1929115022275567906,2025-06-01,9,6,The place that breaking you might be the place that builds you. Keep Grinding . Be a #chillguy .,442.8
Joanna,My son is a  #Chillguy .,#Chillguy,74,8,5,1943,2025-05-31 22:29:31+00:00,https://x.com/fowler_joa10070/status/1928941939790921888,2025-05-31,22,5,My son is a #Chillguy .,284.3
{baby.exe},george sir was a  chill guy  but also scary as hell  prakash varma ,,550,43,3,30819,2025-05-31 22:16:09+00:00,https://x.com/thebabykadayadi/status/1928938578207220183,2025-05-31,22,5,george sir was a chill guy but also scary as hell prakash varma,3717.9
yau,Damn I miss the  chill guy  trenches,,67,13,6,2256,2025-05-31 21:54:45+00:00,https://x.com/yauu23/status/1928933190950932566,2025-05-31,21,5,Damn I miss the chill guy trenches,318.6
RawG,I have fun posting about  Chillguy  because it's so easy to be confident in.  I honestly think everyone who buys here will make a lot of money eventually if they hold.  I have no problems saying that.,,0,0,0,0,2025-05-31 19:31:30+00:00,https://x.com/Raughg/status/1928897141008707606,2025-05-31,19,5,I have fun posting about Chillguy because it's so easy to be confident in. I honestly think everyone who buys here will make a lot of money eventually if they hold. I have no problems saying that.,0.0
Potto,"JUST A  #CHILLGUY THATS THE TWEET.

1B INEVITABLE.",#CHILLGUY,120,23,4,2264,2025-05-31 17:35:40+00:00,https://x.com/pottocrypto/status/1928867991518634314,2025-05-31,17,5,JUST A #CHILLGUY THATS THE TWEET. 1B INEVITABLE.,392.4
RawG,@richcool324 Chill Guy  在全球广受欢迎。几乎在所有主流交易所上市。市值仍低于 1 亿。,,0,0,0,0,2025-05-31 14:44:39+00:00,https://x.com/Raughg/status/1928824952012071352,2025-05-31,14,5,@richcool324 Chill Guy 在全球广受欢迎。几乎在所有主流交易所上市。市值仍低于 1 亿。,0.0
TOMMY.CRYPTO,"Stay spot‘n‘ chill : that’s the mission. Chillguy  has everything you need:

Big whales
Major exchanges buying
Biggest meme of all time 
Cheap price now to enter

100%  chill 1$ and higher…",,97,28,20,1628,2025-05-31 14:36:13+00:00,https://x.com/tommydotcrypto/status/1928822831850156069,2025-05-31,14,5,Stay spot‘n‘ chill : that’s the mission. Chillguy has everything you need: Big whales Major exchanges buying Biggest meme of all time Cheap price now to enter 100% chill 1$ and higher…,315.8
RawG,"James Wynn made his money from holding memes like pepe.  Then he lost it all with leverage.  What's the lesson?

hold blue chip meme.  stay away from leverage. Chillguy",,64,13,2,3416,2025-05-31 14:12:49+00:00,https://x.com/Raughg/status/1928816942535610538,2025-05-31,14,5,James Wynn made his money from holding memes like pepe. Then he lost it all with leverage. What's the lesson? hold blue chip meme. stay away from leverage. Chillguy,431.6
kumii,guys chill,,389,37,3,3066,2025-05-31 10:00:03+00:00,https://x.com/kumiitwt/status/1928753329967882394,2025-05-31,10,5,guys chill,769.6
CUPRA KIRO,Just a  chill guy  ya know.  #ShanghaiEPrix #FormulaE,"#ShanghaiEPrix,#FormulaE",0,0,0,0,2025-05-31 07:03:04+00:00,https://x.com/KiroRaceCo/status/1928708790569832557,2025-05-31,7,5,Just a chill guy ya know. #ShanghaiEPrix #FormulaE,0.0
Alex,"Everything will be alright when trump will become  #CHILLGUY  

till then nobody safe ",#CHILLGUY,72,10,2,2123,2025-05-30 18:58:59+00:00,https://x.com/iamalexaslan/status/1928526569674276884,2025-05-30,18,4,Everything will be alright when trump will become #CHILLGUY till then nobody safe,304.3
𝖬ⁱ𝗇ᵃ,He’s just a  chill guy,,0,0,0,0,2025-05-30 18:24:01+00:00,https://x.com/Minip1h/status/1928517773392486636,2025-05-30,18,4,He’s just a chill guy,0.0
FROGBLOCK,"Our game can get pretty tough, but the  chill  music keeps you calm  What do you  guys  think about this level? #gamedev #frog #indiegame","#gamedev,#frog,#indiegame",551,60,18,18166,2025-05-30 18:18:19+00:00,https://x.com/frogblockgame/status/1928516337506169025,2025-05-30,18,4,"Our game can get pretty tough, but the chill music keeps you calm What do you guys think about this level? #gamedev #frog #indiegame",2487.6000000000004
